;ST;BT;BS;SS;MM_Y;MM_R;MM_B;MM_O;MM_G;MM_BR;SM_R;SM_Y;SM_B;SM_BR;SM_PI;SM_P;AS_P;AS_O;AS_Y;AS_G;AS_B;SE_PI;SE_G;SE_Y;JT_Y;JT_R;JT_O;JJ_G;JJ_P;JJ_R;JJ_O;JJ_Y
x1y1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x1y3;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
x1y5;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x1y7;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
x1y9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x3y1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x3y3;1;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;1;;
x3y5;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x3y7;;;;;;;1;;;1;;;;;;;;;;;;;;;;1;;;;;;
x3y9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x5y1;2;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;
x5y3;;;1;1;1;;;;;;;;;;;1;;;;;1;;;;;;;;;;;
x5y5;4;;1;;;1;1;;1;;1;;;;;;;;;;;1;;;1;;;;;;;
x5y7;;;;;1;;1;;1;;;;;;;;;;;;;;;1;;1;;1;1;;;
x5y9;;;1;;;;1;;;;;;;;;;;;;;;;;;;;1;;1;;;1
x7y1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x7y3;;1;;;;;;1;1;;;1;;;;;;;1;;;;;;;;;;;;;1
x7y5;;8;2;;;1;1;;;1;;3;;1;;1;;;;1;;;;;;;;;;;2;3
x7y7;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
x7y9;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
x9y1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x9y3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x9y5;;;;;1;;;1;;;;;;;;;1;;;1;;;;;;;;1;;;;1
x9y7;;2;;1;;;;1;;;1;1;1;;;;;;;;;;;;;;;;;;;
x9y9;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;
x11y1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
x11y3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x11y5;;;;;1;;;;;;;;;;1;;;;;;1;;;;;;;;;;;
x11y7;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;1;;
x11y9;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
